cliente,loja,contrato,data_venda,faturado,valor_entrada,autorizado,nivel_venda,tipo_plano,forma_venda,situacao,alteracao_vencimento,venda_autorizada,assinado_biometria,contrato_entregue,contrato_assinado,sem_autorizado,contrato_conversao,qtd_parcelas,qtd_parcelas_abertas,qtd_parcelas_vencidas,qtd_parcelas_quitadas,qtd_parcelas_quitadas_adiantadas,qtd_parcelas_quitadas_emdia,qtd_parcelas_quitadas_atrasado,qtd_parcelas_quitadas_atrasado_15dias,qtd_parcelas_quitadas_atrasado_30dias,qtd_parcelas_quitadas_atrasado_60dias,qtd_parcelas_quitadas_atrasado_90dias,primeiro_vencimento,ultimo_pagamento_integral,ultimo_pagamento_parcial,valor_financiado,juros_financiamento,valor_parcela,media_dias_atraso,mda,mda_aberto,mda_pago,juro_pago,desconto_juro,multa_paga,desconto_multa,saldo_devedor,qtd_inclusao_contrato_spc,qtd_retirado_contrato_spc,qtd_inclusao_cliente_spc,qtd_retirado_cliente_spc,qtd_inclusao_contrato_cobranca,qtd_consultas_ate15dias,qtd_consultas_ate30dias,qtd_consultas_ate60dias,qtd_consultas_mais60dias,qtd_registros,valor_total_registrado,registro_mais_antigo,registro_mais_recente,maior_valor_registrado,qtd_parc_quitadas_cliente,total_pago_cliente,qtd_parc_abertas_cliente,total_aberto_cliente,qtd_parc_avencer_cliente,total_avencer_cliente,qtd_parc_vencidas_cliente,total_vencido_cliente,mda_aberto_cliente,mda_vencido_cliente,qtd_contratos_quitados_cliente,qtd_contratos_abertos_cliente,qtd_contratos_avencer_cliente,qtd_contratos_vencidos_cliente,media_atraso_cliente,cliente_na_cobranca,qtd_total_ligacao,qtd_sucesso_ligacao,qtd_sms,qtd_acordos,qtd_acordos_cancelados,qtd_acordos_quitados,qtd_acordos_abertos,qtd_acordos_vencidos,codigo_credscore,rg,comprovante_identidade,rg_uf,sexo,data_nascimento,ddd_tel_fixo,tel_fixo,ddd_celular,celular,estado_civil,nome_conjuge,data_nascimento_conjuge,ddd_tel_conjuge,tel_conjuge,dependentes,email,veiculo,veiculo_financiado,moradia,bloqueado,falecido,loja_cadastro,data_criacao_cadastro,data_atualizacao_cadastro,cep,tipo_endereco,cidade_residencia,cidade_natal,anos_residencia,comprovante_residencia,ocupacao,ddd_comercial,telefone_comercial,data_admissao,carteira_assinada,salario,numero_beneficio,comprovante_renda,comprovante_renda_familiar,renda_familiar1_parentesco,renda_familiar1_ddd_celular,renda_familiar1_celular,renda_familiar1_ocupacao,renda_familiar1_ddd_comercial,renda_familiar1_fone_comercial,renda_familiar1_salario,renda_familiar1_codigo_cliente,renda_familiar2_parentesco,renda_familiar2_ddd_celular,renda_familiar2_celular,renda_familiar2_ocupacao,renda_familiar2_ddd_comercial,renda_familiar2_fone_comercial,renda_familiar2_salario,renda_familiar2_codigo_cliente,renda_familiar3_parentesco,renda_familiar3_ddd_celular,renda_familiar3_celular,renda_familiar3_ocupacao,renda_familiar3_ddd_comercial,renda_familiar3_fone_comercial,renda_familiar3_salario,renda_familiar3_codigo_cliente,referencia1_parentesco,referencia1_fone_residencial_ddd,referencia1_fone_residencial,referencia1_fone_comercial_ddd,referencia1_fone_comercial,referencia1_celular_ddd,referencia1_celular,referencia2_parentesco,referencia2_fone_residencial_ddd,referencia2_fone_residencial,referencia2_fone_comercial_ddd,referencia2_fone_comercial,referencia2_celular_ddd,referencia2_celular,referencia3_parentesco,referencia3_fone_residencial_ddd,referencia3_fone_residencial,referencia3_fone_comercial_ddd,referencia3_fone_comercial,referencia3_celular_ddd,referencia3_celular,quantidade_acordos,qtd_sms_enviado,qtd_ligacao_total,qtd_ligacao_sucesso,mda,mda_aberto,qtd_pagto_parciais,qtd_parcelas_pagto_parciais,possui_biometria,data_cadastro_biometrico,possui_compra_tidas
421224,10309,2472,20130304,54.90,,,190,1,1,1,false,false,false,true,true,false,false,4,0,0,4,4,0,0,0,0,0,0,20130404,20130703,,60.92,6.02,15.23,0,-1,,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,2,0,,,,,8,202.17,9,180.30,9,180.30,0,0.00,-19,,2,2,2,0,340,false,,,,,,,,,421224,true,true,16,2,19750323,41,true,41,true,5,false,,,false,1,false,0,,1,false,false,10000,19990114,20140704,832,34,3013,3013,7,true,7,,true,19000101,,480.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,7,41,true,,false,,false,7,41,true,,false,,false,13,41,true,,false,,false,0,1,5,0,1171,75,0,0,true,20140327,true
422014,10309,1032,20120525,704.29,,,105,1,1,1,true,true,false,true,true,false,false,5,0,0,5,4,0,1,1,0,0,0,20120701,20120718,,719.95,15.66,143.99,0,17,,17,5.52,0.00,2.96,0.00,0.00,0,0,0,0,0,3,4,4,0,0,,,,,3,199.63,2,91.80,0,0.00,2,91.80,2293,2293,4,2,0,2,914,false,,,,,,,,,422014,true,false,16,2,,,false,41,true,3,false,,,false,0,false,0,,1,false,false,14308,20000410,20120525,832,34,3036,3013,,false,54,41,true,19991230,1,2140.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,10,,false,,false,41,true,3,,false,,false,41,true,,,false,,false,,false,0,0,0,0,3100,3100,0,0,false,,true
422290,10308,19990,20120921,311.90,,,210,1,1,1,false,false,false,true,true,false,false,5,0,0,5,1,3,1,0,0,0,0,20121021,20130301,,319.40,7.50,63.88,1,8,,8,1.00,0.00,1.26,0.00,0.00,0,0,0,0,0,2,2,2,1,0,,,,,9,981.70,,,0,0.00,,,,,4,,,,14,false,,,,,,,,,422290,true,false,16,1,19650106,41,true,41,true,2,true,19700222,41,true,0,false,0,,1,false,false,10308,20120921,20121221,832,34,3013,3013,22,false,68,,false,19000101,,3696.45,false,true,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,12,41,true,,false,,false,14,41,true,,false,,false,,,false,,false,,false,0,0,0,0,23,,0,0,false,,true
422623,10309,2014,20121210,254.29,,,191,1,1,1,false,false,false,true,true,false,false,6,0,0,6,2,0,4,3,0,0,0,20130110,20130528,,263.28,8.99,43.88,9,19,,19,6.39,0.00,3.55,0.00,0.00,0,0,0,0,3,0,0,0,0,0,,,,,4,283.38,,,0,0.00,,,,,2,,,,0,false,,,,,,,,,422623,true,true,16,2,19640408,,false,41,true,1,false,,,false,1,false,0,,1,false,false,10308,20001215,20130327,832,34,3013,3013,22,true,66,,true,,,1200.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,17,41,true,,false,41,true,3,41,true,,false,41,true,,,false,,false,,false,0,3,0,0,19,,0,0,false,,true
423150,10308,20050,20121002,303.29,,,210,1,1,1,false,false,false,true,true,false,false,5,0,0,5,3,2,0,0,0,0,0,20121102,20130227,,310.80,7.51,62.16,0,3,,3,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,,,,,11,689.68,,,0,0.00,,,,,4,,,,0,false,,,,,,,,,423150,true,true,16,1,19540712,41,true,41,true,1,false,,,false,0,false,0,,1,false,false,10308,20010604,20130822,832,34,3013,2985,15,false,68,,false,19000101,,1400.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,10,41,true,,false,,false,10,41,true,,false,,false,,,false,,false,,false,0,1,0,0,15,,0,0,true,20130507,true
423150,10308,21500,20130507,89.90,,,209,1,1,1,false,false,true,true,true,,false,3,0,0,3,1,0,2,1,0,0,0,20130607,20130822,,94.41,4.51,31.47,6,15,,15,1.36,0.00,1.24,0.00,0.00,0,0,0,0,1,0,0,0,0,0,,,,,16,1000.48,,,0,0.00,,,,,5,,,,0,false,,,,,,,,,423150,true,true,16,1,19540712,41,true,41,true,1,false,,,false,0,false,0,,1,false,false,10308,20010604,20130822,832,34,3013,2985,15,false,68,,false,19000101,,1400.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,10,41,true,,false,,false,10,41,true,,false,,false,,,false,,false,,false,0,1,0,0,15,,0,0,true,20130507,true
424043,10308,18787,20120207,101.75,,,74,1,1,1,false,false,false,true,true,false,false,5,0,0,5,1,3,1,0,0,0,0,20120307,20120707,,109.25,7.50,21.85,1,4,,4,0.15,0.00,0.42,0.00,0.00,0,0,0,0,0,0,0,0,1,0,,,,,82,2672.05,1,22.20,1,22.20,0,0.00,-15,,33,1,1,0,21,false,,,,,,,,,424043,true,true,16,1,19721007,41,true,41,true,2,true,19750321,41,true,0,false,0,,1,false,false,10308,20010101,20130221,832,34,8860,3013,,false,46,41,true,20060218,1,1256.97,false,true,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,12,41,true,,false,,false,14,41,true,,false,,false,,,false,,false,,false,0,0,0,0,245,,0,0,false,,true
424043,10308,20199,20121024,149.68,,,190,1,1,1,false,false,false,true,true,false,false,5,0,0,5,4,0,1,0,0,0,0,20121124,20130405,,157.20,7.52,31.44,0,12,,12,0.78,0.00,0.62,0.00,0.00,0,0,0,0,0,0,0,0,0,0,,,,,88,2804.07,,,0,0.00,,,,,35,,,,22,false,,,,,,,,,424043,true,true,16,1,19721007,41,true,41,true,2,true,19750321,41,true,0,false,0,,1,false,false,10308,20010101,20130221,832,34,8860,3013,,false,46,41,true,20060218,1,1256.97,false,true,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,12,41,true,,false,,false,14,41,true,,false,,false,,,false,,false,,false,0,0,0,0,245,,0,0,false,,true
424139,10308,18887,20120301,302.56,,,74,1,1,1,false,false,false,true,,,false,5,0,0,5,3,0,2,1,0,0,0,20120401,20120730,,310.05,7.49,62.01,6,19,,19,4.48,0.00,2.48,0.00,0.00,0,0,0,0,2,1,1,1,0,0,,,,,10,286.34,2,42.00,2,42.00,0,0.00,-107,,6,1,1,0,0,false,,,,,,,,,424139,true,true,16,2,19750603,,true,41,true,1,true,19650811,,false,1,false,0,,1,false,false,10308,20011015,20140626,,34,3013,3013,,false,64,41,true,20100101,0,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,5,41,true,,false,,false,10,41,true,,false,,false,6,,false,,false,41,true,0,9,0,0,47,-47,0,0,true,20130815,true
424139,10308,19699,20120802,163.81,,,104,1,1,1,false,false,false,true,true,false,false,5,0,0,5,2,0,3,2,1,0,0,20120902,20130107,,171.30,7.49,34.26,9,30,,30,3.73,0.00,2.04,0.00,0.00,0,0,0,0,2,0,0,0,0,0,,,,,18,681.81,4,132.00,4,132.00,0,0.00,-28,,8,1,1,0,0,false,0,0,4,,,,,,424139,true,true,16,2,19750603,,true,41,true,1,true,19650811,,false,1,false,0,,1,false,false,10308,20011015,20140626,,34,3013,3013,,false,64,41,true,20100101,0,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,5,41,true,,false,,false,10,41,true,,false,,false,6,,false,,false,41,true,0,9,0,0,47,-47,0,0,true,20130815,true
424139,10308,19888,20120904,111.60,,,209,1,1,1,false,false,false,true,true,false,false,5,0,0,5,2,0,3,1,0,0,0,20121004,20130107,,119.10,7.50,23.82,3,28,,28,2.35,0.00,1.00,0.00,0.00,0,0,0,0,2,0,0,0,0,0,,,,,20,750.11,7,235.00,7,235.00,0,0.00,-26,,8,2,2,0,0,false,0,0,4,,,,,,424139,true,true,16,2,19750603,,true,41,true,1,true,19650811,,false,1,false,0,,1,false,false,10308,20011015,20140626,,34,3013,3013,,false,64,41,true,20100101,0,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,5,41,true,,false,,false,10,41,true,,false,,false,6,,false,,false,41,true,0,9,0,0,47,-47,0,0,true,20130815,true
424139,10308,20261,20121106,154.60,,,209,1,1,1,false,false,false,true,true,false,false,6,0,0,6,4,1,1,0,0,0,0,20121206,20130308,,163.62,9.02,27.27,0,12,,12,0.73,0.00,0.57,0.00,0.00,0,0,0,0,1,0,0,0,0,0,,,,,26,942.49,6,170.00,6,170.00,0,0.00,-24,,8,3,3,0,1,false,0,0,5,,,,,,424139,true,true,16,2,19750603,,true,41,true,1,true,19650811,,false,1,false,0,,1,false,false,10308,20011015,20140626,,34,3013,3013,,false,64,41,true,20100101,0,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,5,41,true,,false,,false,10,41,true,,false,,false,6,,false,,false,41,true,0,9,0,0,47,-47,0,0,true,20130815,true
424139,10308,20598,20121218,157.68,,,209,1,1,1,false,false,false,true,true,false,false,6,0,0,6,5,0,1,1,0,0,0,20130118,20130308,,166.68,9.00,27.78,0,15,,15,0.87,0.00,0.54,0.00,0.00,0,0,0,0,1,0,0,0,0,0,,,,,30,1067.20,8,215.00,8,215.00,0,0.00,-15,,9,3,3,0,3,false,0,0,7,,,,,,424139,true,true,16,2,19750603,,true,41,true,1,true,19650811,,false,1,false,0,,1,false,false,10308,20011015,20140626,,34,3013,3013,,false,64,41,true,20100101,0,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,5,41,true,,false,,false,10,41,true,,false,,false,6,,false,,false,41,true,0,9,0,0,47,-47,0,0,true,20130815,true
424139,10308,20806,20130107,63.86,,,209,1,1,1,false,false,false,true,true,false,false,4,0,0,4,4,0,0,0,0,0,0,20130207,20130308,,69.88,6.02,17.47,0,-2,,-2,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,,,,,34,1175.20,10,274.68,10,274.68,0,0.00,-11,,11,2,2,0,2,false,0,0,7,,,,,,424139,true,true,16,2,19750603,,true,41,true,1,true,19650811,,false,1,false,0,,1,false,false,10308,20011015,20140626,,34,3013,3013,,false,64,41,true,20100101,0,800.00,false,false,false,,,false,,,false,,,,,false,,,false,,,,,false,,,false,,,5,41,true,,false,,false,10,41,true,,false,,false,6,,false,,false,41,true,0,9,0,0,47,-47,0,0,true,20130815,true
