;faturado;valor_entrada;qtd_parcelas;valor_financiado;valor_parcela;mda;qtd_consultas_ate15dias;qtd_consultas_ate60dias;qtd_registros;qtd_contratos_quitados_cliente;qtd_contratos_abertos_cliente;media_atraso_cliente;sexo;idade;tel_fixo;estado_civil;dependentes;veiculo;veiculo_financiado;moradia;anos_residencia;ocupacao;telefone_comercial;anos_empresa;salario;mda_cliente
52;434.5;;5;442.0;88.4;1;4.0;4.0;0.0;0;;;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
53;337.9;;6;346.92;57.82;1;0.0;0.0;0.0;8;3.0;0.0;2;52;True;1;1.0;0.0;;1.0;;7.0;True;117;1000.0;18
54;349.9;;6;358.92;59.82;1;0.0;0.0;0.0;2;;0.0;2;56;False;5;1.0;0.0;;1.0;10.0;76.0;True;20;1500.0;5
55;169.7;;6;178.68;29.78;0;0.0;0.0;0.0;2;1.0;0.0;2;56;False;5;1.0;0.0;;1.0;10.0;76.0;True;20;1500.0;5
56;324.4;;5;331.9;66.38;2;0.0;1.0;0.0;0;;;2;56;False;5;1.0;0.0;;1.0;10.0;76.0;True;20;1500.0;5
57;159.79;;5;167.3;33.46;5;0.0;1.0;0.0;0;1.0;0.0;2;56;False;5;1.0;0.0;;1.0;10.0;76.0;True;20;1500.0;5
58;202.6;;4;208.6;52.15;913;0.0;0.0;0.0;0;;;1;28;True;1;0.0;0.0;True;1.0;10.0;67.0;True;6;737.0;913
59;114.8;;5;122.3;24.46;895;0.0;0.0;0.0;0;1.0;;1;28;True;1;0.0;0.0;True;1.0;10.0;67.0;True;6;737.0;913
60;329.7;;5;337.2;67.44;101;2.0;2.0;0.0;4;;31.0;1;47;True;2;0.0;1.0;False;1.0;5.0;25.0;True;117;2000.0;101
61;199.9;;6;199.9;33.32;18;0.0;0.0;0.0;24;;12.0;1;56;True;1;;;;;;68.0;True;18;1036.9;112
